Time,Original Path,Original Filename,New Path,New Filename,Status,Source
2025-06-04 17:00:23,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Ergobaby Metro+ City Compact Stroller.jpg,Ergobaby Metro+ City Compact Stroller.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\b&g_bloom_&_grow_ergobaby_ergobaby_metro+_city_compact_stroller_+_free_gift_ergobaby_metro+_city_compact_stroller.jpg,b&g_bloom_&_grow_ergobaby_ergobaby_metro+_city_compact_stroller_+_free_gift_ergobaby_metro+_city_compact_stroller.jpg,DryRun,Metadata
2025-06-04 17:00:23,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton Ready To Go Bundle_black.jpg,Hamilton Ready To Go Bundle_black.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\j&e_hamilton_hamilton_ready_to_go_bundle_hamilton_ready_to_go_bundle_(hamilton_x1_plus_x_dtd_(bear)_special_edition_stroller_-_black).jpg,j&e_hamilton_hamilton_ready_to_go_bundle_hamilton_ready_to_go_bundle_(hamilton_x1_plus_x_dtd_(bear)_special_edition_stroller_-_black).jpg,DryRun,Metadata
2025-06-04 17:00:23,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton Ready To Go Bundle_cream white.jpg,Hamilton Ready To Go Bundle_cream white.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\j&e_hamilton_hamilton_ready_to_go_bundle_hamilton_ready_to_go_bundle_(hamilton_x1_plus_x_dtd_(bear)_special_edition_stroller_-_black).jpg,j&e_hamilton_hamilton_ready_to_go_bundle_hamilton_ready_to_go_bundle_(hamilton_x1_plus_x_dtd_(bear)_special_edition_stroller_-_black).jpg,DryRun,Metadata
2025-06-04 17:00:23,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton S2 Compact Stroller_Black.jpg,Hamilton S2 Compact Stroller_Black.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
2025-06-04 17:00:23,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton S2 Compact Stroller_Khaki.jpg,Hamilton S2 Compact Stroller_Khaki.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
2025-06-04 17:00:23,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_black copy.jpg,Hamilton T1 Turnable Stroller_black copy.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
2025-06-04 17:00:23,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_black.jpg,Hamilton T1 Turnable Stroller_black.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\j&e_hamilton_hamilton_t1_turnable_stroller_hamilton_t1_turnable_stroller_-_black.jpg,j&e_hamilton_hamilton_t1_turnable_stroller_hamilton_t1_turnable_stroller_-_black.jpg,DryRun,Metadata
2025-06-04 17:00:23,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_grey copy.jpg,Hamilton T1 Turnable Stroller_grey copy.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
2025-06-04 17:00:23,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_grey.jpg,Hamilton T1 Turnable Stroller_grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\j&e_hamilton_hamilton_t1_turnable_stroller_hamilton_t1_turnable_stroller_-_dark_grey.jpg,j&e_hamilton_hamilton_t1_turnable_stroller_hamilton_t1_turnable_stroller_-_dark_grey.jpg,DryRun,Metadata
2025-06-04 17:00:23,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_khaki copy.jpg,Hamilton T1 Turnable Stroller_khaki copy.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
