Time,Original Path,Original Filename,New Path,New Filename,Status,Source
2025-06-06 11:11:45,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Easy Rider Premium Car Seat.jpg,Bonbijou Easy Rider Premium Car Seat.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
2025-06-06 11:11:45,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Explorer Foldable Car Seat with Bag_Black.jpg,Bonbijou Explorer Foldable Car Seat with Bag_Black.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
2025-06-06 11:11:45,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Explorer Foldable Car Seat with Bag_Grey.jpg,Bonbijou Explorer Foldable Car Seat with Bag_Grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
2025-06-06 11:11:45,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Luna Stroller_Black.jpg,Bonbijou Luna Stroller_Black.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\j&e_bonbijou_bonbijou_luna_stroller_(black)_bonbijou_luna_stroller.jpg,j&e_bonbijou_bonbijou_luna_stroller_(black)_bonbijou_luna_stroller.jpg,DryRun,Metadata
2025-06-06 11:11:45,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Luna Stroller_Grey.jpg,Bonbijou Luna Stroller_Grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\j&e_bonbijou_bonbijou_luna_stroller_(black)_bonbijou_luna_stroller.jpg,j&e_bonbijou_bonbijou_luna_stroller_(black)_bonbijou_luna_stroller.jpg,DryRun,Metadata
2025-06-06 11:11:45,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Orbit 360 Car Seat_black.jpg,Bonbijou Orbit 360 Car Seat_black.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
2025-06-06 11:11:45,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Orbit 360 Car Seat_grey.jpg,Bonbijou Orbit 360 Car Seat_grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
2025-06-06 11:11:45,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou S5 3 in 1 Quickfold Playpen_Grey.jpg,Bonbijou S5 3 in 1 Quickfold Playpen_Grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\j&e_bonbijou_bonbijou_s5_3_in_1_quickfold_playpen_+_add_on_option_bonbijou_s5_3_in_1_quickfold_playpen_-_grey.jpg,j&e_bonbijou_bonbijou_s5_3_in_1_quickfold_playpen_+_add_on_option_bonbijou_s5_3_in_1_quickfold_playpen_-_grey.jpg,DryRun,Metadata
2025-06-06 11:11:45,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Takara Multipurpose Baby Cot Natural WO Varnish  + Bonbijou Bamboo Fabric Anti-Dustmite High Density Foam Mattress with Hole.jpg,Bonbijou Takara Multipurpose Baby Cot Natural WO Varnish  + Bonbijou Bamboo Fabric Anti-Dustmite High Density Foam Mattress with Hole.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
2025-06-06 11:11:45,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Value Bundle_black_green_grey.jpg,Bonbijou Value Bundle_black_green_grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\___.jpg,___.jpg,DryRun,NotFound
